yemek_id,yemek_adi,kalori (kcal),protein (g),karbonhidrat (g),yag (g),porsiyon_turu,minimum_porsiyon_boyutu,porsiyon_artıs_birimi,porsiyon_metrik_türü,porsiyon_metrik,ana_bilesenler,tarif,maksimum_porsiyon
207,Simit,284.5,10.0,51.0,4.5,adet,1.0,1.0,gram,100,"un, su, tuz, susam","Un, su ve tuz ile hamur yoğrulur, simit şekli verilir, susama bulandıktan sonra fırında pişirilir.",5.0
208,Taze Sebzeler,18.32,0.47,1.86,1.0,yemek kaşığı,4.0,1.0,gram,100,"kabak, havuç, brokoli, kırmızı biber",Tüm sebzeleri yıkayıp doğrayın. Bir tavada az miktarda zeytinyağı ile soteleyin ve baharat ekleyerek servis edin.,4.0
209,Çiğ Badem,159.7,4.65,4.9,13.5,avuç,1.0,1.0,gram,30,çiğ badem,"Çiğ badem, kabukları ayıklanmış ve doğal haliyle tüketilen bademdir. Atıştırmalık olarak doğrudan yenebilir.",6.0
210,Taze Meyve,80.0,0.0,20.0,0.0,adet,1.0,1.0,gram,150,mevsim meyvesi,1 porsiyon orta boyutta mevsim meyvesini doğrayıp servis edelim.,6.0
211,Taze Sıkılmış Portakal Suyu,62.95,0.4,15.0,0.15,su bardağı,1.0,0.5,ml,200,portakal,"Portakalları yıkayın, ikiye bölün ve meyve sıkacağı ile suyunu sıkın.",4.0
212,Etli Nohut,31.689999999999998,2.58,1.27,1.81,yemek kaşığı,4.0,1.0,gram,20,"nohut, dana eti, soğan, domates salçası, zeytinyağı","Nohutları bir gece önceden ıslatın. Soğanı doğrayıp zeytinyağında kavurun, etleri ekleyip renk alana kadar pişirin. Salça ekleyip karıştırın, ardından nohutları ve suyu ekleyip pişirin.",20.0
213,Peynirli Domatesli Sandviç,213.8,10.3,26.5,7.4,porsiyon,1.0,1.0,gram,150,"tam buğday ekmeği, beyaz peynir, domates, zeytinyağı","Tam buğday ekmeğinin arasına dilimlenmiş beyaz peynir ve domates yerleştirin, üzerine zeytinyağı gezdirin.",5.0
214,Fıstık Ezmesi,75.83000000000001,2.89,2.59,5.99,yemek kaşığı,1.0,1.0,gram,12,"yer fıstığı, tuz, şeker",Yer fıstıklarını kavurun ve ardından pürüzsüz bir kıvama gelene kadar blenderda çekin. İsteğe bağlı olarak tuz ve şeker ekleyin.,5.0
215,Mercimek Yemeği,20.43,1.2,2.22,0.75,yemek kaşığı,4.0,1.0,gram,30,"mercimek, soğan, havuç, domates salçası, zeytinyağı","Mercimekleri yıkayın ve süzün. Soğanı ve havucu doğrayın. Bir tencerede zeytinyağını ısıtın, soğan ve havucu ekleyip kavurun. Mercimekleri ve domates salçasını ekleyin, karıştırın. Üzerine su ekleyip mercimekler yumuşayana kadar pişirin.",20.0
216,Sade Yulaf Ezmesi,49.599999999999994,2.2,7.5,1.2,kase,0.5,0.5,gram,130,"yulaf ezmesi, su veya süt",Yulaf ezmesini su veya süt ile karıştırarak kısık ateşte pişirin. Kıvam alana kadar karıştırarak pişirmeye devam edin.,4.0
217,Kıymalı Karnabahar,21.799999999999997,1.7,0.6,1.4,yemek kaşığı,4.0,1.0,gram,30,"karnabahar, kıyma, soğan, domates salçası, zeytinyağı",Kıyma ve soğanı zeytinyağında kavurun. Küçük parçalara ayrılmış karnabaharı ve domates salçasını ekleyip karıştırın. Kısık ateşte karnabahar yumuşayana kadar pişirin.,20.0
218,Sebze Salatası,34.5,0.85,4.4,1.5,kase,1.0,0.5,gram,150,"marul, salatalık, domates, havuç, zeytinyağı, limon suyu",Tüm sebzeleri yıkayıp doğrayın. Zeytinyağı ve limon suyunu ekleyip karıştırın.,4.0
219,Köy Tavuğu Izgara,270.52,44.7,5.47,7.76,porsiyon,1.0,1.0,gram,250,"köy tavuğu, zeytinyağı, tuz, karabiber","Köy tavuğu göğsü zeytinyağı, tuz ve karabiber ile marine edilir ve ızgarada pişirilir.",4.0
220,Fırınlanmış Sebzeler,185.31,10.93,18.68,7.43,porsiyon,1.0,1.0,gram,230,"kabak, patlıcan, kırmızı biber, havuç, zeytinyağı","Sebzeleri doğrayın, zeytinyağı ve baharatlarla harmanlayın, önceden ısıtılmış fırında 180°C'de 25-30 dakika pişirin.",4.0
221,Tavuklu Krep,340.0,18.1,12.9,24.0,porsiyon,1.0,1.0,gram,160,"tavuk göğsü, krep hamuru, süt, un, yumurta",Krep hamurunu hazırlayıp pişirin. Tavuk göğsünü haşlayıp didikleyin. Kreplerin içine tavukları koyup sarın ve servis edin.,4.0
222,Lor Peynirli Salata,192.9,12.6,21.0,6.5,kase,1.0,1.0,gram,180,"lor peyniri, marul, domates, salatalık, zeytinyağı","Marul, domates ve salatalığı doğrayın. Üzerine lor peyniri ekleyin. Zeytinyağı ile tatlandırarak karıştırın.",4.0
223,Karabuğday Pilavı,52.06,2.54,7.1,1.5,yemek kaşığı,3.0,1.0,gram,25,"karabuğday, su, zeytinyağı, tuz",Karabuğdayı yıkayın ve süzün. Bir tencereye zeytinyağını ekleyin ve karabuğdayı kısaca kavurun. Üzerine su ve tuz ekleyip kaynamaya bırakın. Kısık ateşte suyunu çekene kadar pişirin.,20.0
224,Kuzu Etli Bamya,15.0,1.6,0.8,0.6,yemek kaşığı,4.0,1.0,gram,30,"kuzu eti, bamya, domates, soğan, zeytinyağı","Kuzu etini zeytinyağında kavurun, doğranmış soğan ve domates ekleyin. Bamyaları ilave edip, su ekleyerek pişirin.",20.0
225,Pastırmalı Yumurta,163.89999999999998,12.38,0.38,12.54,porsiyon,1.0,1.0,gram,75,"yumurta, pastırma, tereyağı","Tavada tereyağını eritin, pastırmaları ekleyip hafifçe kızartın. Üzerine yumurtaları kırın ve pişirin.",4.0
226,Közlenmiş Patlıcan Salatası,78.52000000000001,2.48,5.0,5.4,kase,1.0,1.0,gram,200,"patlıcan, zeytinyağı, limon suyu, sarımsak, maydanoz","Patlıcanları közleyin, kabuklarını soyun ve doğrayın. Zeytinyağı, limon suyu, ezilmiş sarımsak ve doğranmış maydanoz ile karıştırın.",4.0
227,Kaşarlı Tost,210.7,7.5,23.8,9.5,porsiyon,1.0,1.0,gram,100,"ekmek, kaşar peyniri, tereyağı","İki dilim ekmek arasına kaşar peyniri koyup, dış yüzeylerine tereyağı sürün ve tost makinesinde peynir eriyene kadar pişirin.",5.0
228,Çilekli Yoğurt,69.58,2.87,8.0,2.9,kase,1.0,1.0,gram,150,"yoğurt, çilek, bal","Yoğurdu bir kaseye koyun, üzerine dilimlenmiş çilekleri ekleyin ve bal ile tatlandırın.",5.0
229,Sebzeli Bulgur Pilavı,14.209999999999999,0.4,2.32,0.37,yemek kaşığı,3.0,1.0,gram,20,"bulgur, soğan, biber, domates, havuç",Soğanı ve biberi doğrayıp zeytinyağında kavurun. Doğranmış domates ve rendelenmiş havucu ekleyin. Bulguru ekleyip karıştırın. Üzerine su ekleyip kısık ateşte pişirin.,21.0
230,Tavuk Şinitzel,286.42999999999995,16.65,10.34,19.83,porsiyon,1.0,1.0,gram,100,"tavuk göğsü, un, yumurta, ekmek kırıntısı","Tavuk göğsü dilimleri un, çırpılmış yumurta ve ekmek kırıntısına bulanarak kızgın yağda kızartılır.",6.0
231,Tavuklu Kuskus Salatası,125.80000000000001,9.0,12.1,4.6,kase,0.5,0.5,gram,300,"tavuk göğsü, kuskus, zeytinyağı, domates, salatalık, yeşil biber","Kuskusu haşlayın ve süzün. Tavuk göğsünü küp küp doğrayıp zeytinyağında soteleyin. Domates, salatalık ve yeşil biberi doğrayın. Tüm malzemeleri karıştırın, tuz ve limon suyu ekleyin.",4.0
232,Kıymalı Karnıyarık,160.7,7.5,4.1,12.7,adet,1.0,1.0,gram,180,"patlıcan, kıyma, soğan, domates, biber, zeytinyağı","Patlıcanları ortadan kesip içlerini çıkarın ve kızartın. Kıyma, soğan, domates ve biberi kavurun. Kızarmış patlıcanların içine kıymalı harcı doldurun ve fırında pişirin.",8.0
233,Pilav,34.64,0.49,5.47,1.2,yemek kaşığı,3.0,1.0,gram,30,"pirinç, su, tuz, yağ","Pirinç yıkanır ve süzülür. Tencereye yağ eklenir ve pirinç kavrulur. Üzerine su ve tuz eklenir, kaynadıktan sonra kısık ateşte suyunu çekene kadar pişirilir.",21.0
234,Peynirli Gözleme,561.02,20.96,103.14,7.18,porsiyon,1.0,1.0,gram,200,"un, beyaz peynir, su, tuz, yağ","Un, su ve tuz ile hamur hazırlanır. Hamur açılır ve içine beyaz peynir konulur. Katlanarak kapatılır ve tavada yağda kızartılır.",5.0
235,Nohutlu Pilav,33.76,0.83,6.26,0.6,yemek kaşığı,3.0,1.0,gram,20,"pirinç, nohut, su, tuz, yağ",Pirinç ve nohutu haşlayın. Ardından yağda kavurun ve su ile pişirin. Tuz ekleyerek demlenmeye bırakın.,21.0
236,Patates Salatası,113.0,2.0,15.0,5.0,tabak,0.5,0.5,gram,150,"patates, mayonez, yoğurt, yeşil soğan, hardal","Patatesleri haşlayın ve küp şeklinde doğrayın. Yoğurt, mayonez, hardal, tuz ve karabiberi karıştırarak sos hazırlayın. Patatesleri ve ince doğranmış yeşil soğanı sos ile karıştırın ve servis yapın.",4.0
237,Fırında Kuzu İncik,222.6,19.2,2.7,15.0,tabak,0.5,0.5,gram,360,"kuzu incik, zeytinyağı, sarımsak, soğan, havuç, patates, biberiye","Kuzu incikleri zeytinyağı ile marine edip, sarımsak, soğan, havuç ve patates ile birlikte fırında pişirin.",4.0
238,Közlenmiş Patlıcan,78.52000000000001,2.48,5.0,5.4,kase,1.0,1.0,gram,200,"patlıcan, zeytinyağı, sarımsak, limon suyu","Patlıcanları közleyin, kabuklarını soyun ve doğrayın. Zeytinyağı, ezilmiş sarımsak ve limon suyu ile karıştırın.",5.0
239,Kuzu Şiş,118.0,11.5,2.7,6.8,adet,1.0,1.0,gram,70,"kuzu eti, soğan, biber, domates, zeytinyağı","Kuzu etini küp şeklinde doğrayın ve zeytinyağı, tuz, karabiber ile marine edin. Şişlere sırasıyla kuzu eti, soğan, biber ve domatesi dizin. Izgarada pişirin.",20.0
240,Zeytinyağlı Yaprak Sarma,31.92,1.11,5.88,0.44,adet,3.0,1.0,gram,35,"asma yaprağı, pirinç, zeytinyağı, soğan, dolmalık fıstık, kuş üzümü","Asma yaprakları haşlanır. Pirinç, soğan, zeytinyağı, dolmalık fıstık ve kuş üzümü karışımı yapraklara sarılır. Tencereye dizilip kısık ateşte pişirilir.",20.0
241,Yoğurtlu Meyve Salatası,171.0,5.3,28.0,4.2,kase,0.5,0.5,gram,500,"yoğurt, muz, çilek, bal","Bir kase yoğurdun içine dilimlenmiş muz ve çilek ekleyin, üzerine biraz bal gezdirin ve karıştırın.",4.0
242,Kuzu Kavurma,66.35,9.83,0.75,2.67,yemek kaşığı,3.0,1.0,gram,30,"kuzu eti, soğan, biber, domates, yağ","Kuzu etini kuşbaşı doğrayın ve yağda kavurun. Üzerine doğranmış soğan, biber ve domates ekleyin. Tüm malzemeler pişene kadar kısık ateşte karıştırarak pişirin.",20.0
243,Tavuklu Sebzeli Maklube,177.0,10.0,23.0,5.0,tabak,0.5,0.5,gram,200,"tavuk, pirinç, havuç, patates, soğan, baharatlar","Tavuk parçalarını zeytinyağında soteleyin. Üzerine doğranmış soğan, havuç ve patates ekleyin. Pirinci yıkayıp ekleyin, ardından baharatları ilave edin. Üzerine su ekleyip kısık ateşte pişirin.",4.0
244,Kırmızı Lahana Salatası,65.22,1.5,6.93,3.5,kase,1.0,1.0,gram,135,"kırmızı lahana, havuç, zeytinyağı, limon suyu, tuz","Kırmızı lahanayı ince ince doğrayın, havuçları rendeleyin. Zeytinyağı, limon suyu ve tuz ile karıştırarak servis yapın.",4.0
245,Karışık Meyve,223.7,2.9,51.0,0.9,kase,0.5,0.5,gram,500,"elma, muz, portakal, üzüm","Elma, muz, portakal ve üzümü yıkayın ve doğrayın. Tüm meyveleri bir kasede karıştırın ve servis yapın.",3.0
246,Krep,91.75999999999999,3.78,13.94,2.32,adet,1.0,1.0,gram,50,"un, süt, yumurta","Un, süt ve yumurtayı karıştırarak bir hamur elde edin. Tavada ince bir tabaka halinde pişirin.",5.0
247,Tavuklu Şehriye Çorbası,112.36000000000001,4.23,13.87,4.44,kase,1.0,1.0,gram,150,"tavuk, şehriye, havuç, soğan, tavuk suyu","Tavuk göğsünü haşlayın ve didikleyin. Soğan ve havucu doğrayın. Tencerede az yağ ile soğanı kavurun, havuçları ekleyin. Tavuk suyunu ve şehriyeyi ekleyip kaynatın. Didiklenmiş tavuğu ekleyip pişirin. Tuz ve baharatlarla tatlandırın.",5.0
248,Izgara Sebzeler,185.94,10.93,18.68,7.5,porsiyon,1.0,1.0,gram,230,"kabak, patlıcan, kırmızı biber, zeytinyağı","Sebzeleri dilimleyin, zeytinyağı ve baharatlarla karıştırın. Izgarada pişirin.",4.0
249,Kırmızı Mercimek Çorbası,44.2,2.0,5.0,1.8,kase,1.0,1.0,gram,150,"kırmızı mercimek, soğan, havuç, patates, salça","Kırmızı mercimek, doğranmış soğan, havuç ve patatesi su ile haşlayın. Salça ve baharat ekleyip blenderdan geçirerek pürüzsüz hale getirin.",5.0
250,Kuru Fasulye,27.31,2.3,3.47,0.47,yemek kaşığı,4.0,1.0,gram,35,"kuru fasulye, soğan, domates salçası, zeytinyağı","Kuru fasulyeleri bir gece önceden ıslatın. Ertesi gün, soğanı zeytinyağında kavurun, domates salçasını ekleyin ve karıştırın. Islatılmış fasulyeleri ekleyin, üzerini geçecek kadar su koyun ve pişirin.",20.0
251,Yumurta ve Avokado Tost,159.60000000000002,7.0,14.0,8.4,dilim,1.0,1.0,gram,200,"tam buğday ekmeği, avokado, yumurta, limon suyu, tuz, karabiber","Tam buğday ekmeğini kızartın. Avokadoyu ezin ve limon suyu, tuz, karabiber ile karıştırın. Karışımı ekmeğin üzerine sürün. Üzerine haşlanmış veya tavada pişirilmiş yumurta ekleyin.",8.0
252,Izgara Tavuk ve Sebzeler,455.31999999999994,55.63,24.0,15.2,porsiyon,1.0,1.0,gram,400,"tavuk göğsü, kırmızı biber, kabak, zeytinyağı, baharatlar",Tavuk göğsü ve doğranmış sebzeleri zeytinyağı ve baharatlarla karıştırıp ızgarada pişirin.,5.0
253,Yoğurtlu Kebap,343.9,23.9,9.2,23.5,porsiyon,1.0,1.0,gram,200,"kuzu eti, yoğurt, domates sosu, pide, tereyağı","Kuzu eti köfteleri ızgarada pişirilir ve üzerine yoğurt, domates sosu ve tereyağı dökülerek, pide üzerinde servis edilir.",4.0
254,Keçi Peyniri ve Zeytinli Omlet,215.92000000000002,11.73,1.75,18.0,adet,1.0,1.0,gram,150,"yumurta, keçi peyniri, zeytin, zeytinyağı","Yumurtaları çırpın, keçi peyniri ve doğranmış zeytinleri ekleyin. Tavada zeytinyağı ile pişirin.",5.0
255,Etli Bamya,15.0,1.6,0.8,0.6,yemek kaşığı,4.0,1.0,gram,30,"bamya, et, domates, soğan, zeytinyağı",Bamyaları temizleyip yıkayın. Eti küçük parçalar halinde doğrayın ve tencerede zeytinyağında kavurun. Üzerine doğranmış soğanı ekleyip kavurmaya devam edin. Domatesi ekleyip birkaç dakika pişirin. Temizlenmiş bamyaları ekleyin ve karıştırın. Üzerine su ekleyip kısık ateşte bamyalar yumuşayana kadar pişirin.,20.0
256,Şehriyeli Pilav,33.83,0.63,6.14,0.75,yemek kaşığı,3.0,1.0,gram,20,"pirinç, arpa şehriye, tereyağı, su, tuz","Tereyağında arpa şehriye kavrulur, ardından pirinç eklenir ve kavurmaya devam edilir. Su ve tuz eklenip kısık ateşte pişirilir.",21.0
257,Simit ve Peynir,376.90000000000003,16.1,51.8,11.7,adet,1.0,1.0,gram,150,"simit, beyaz peynir","Bir adet simit, orta boy bir parça beyaz peynirle birlikte servis edilir.",4.0
258,Patlıcan Ezmesi,63.870000000000005,2.32,4.67,3.99,kase,1.0,1.0,gram,120,"patlıcan, yoğurt, zeytinyağı, sarımsak","Patlıcanları közleyin ve kabuklarını soyun. Yoğurt, zeytinyağı ve ezilmiş sarımsak ile karıştırarak püre haline getirin.",5.0
259,Yulaf Ezmesi ve Meyve,156.6,5.8,23.0,4.6,kase,0.5,0.5,gram,350,"yulaf ezmesi, süt veya su, meyve",Yulaf ezmesini süt veya su ile pişirip üzerine doğranmış taze meyve ekleyin.,4.0
260,Kıymalı Pide,352.74,13.94,41.62,14.5,porsiyon,1.0,1.0,gram,200,"kıyma, un, su, maya, soğan, biber, domates, baharatlar","Hamur yoğurulur ve mayalanır. Kıyma, soğan, biber, domates ve baharatlar karıştırılarak iç harcı hazırlanır. Hamur açılır, iç harcı eklenir ve pide şeklinde kapatılarak fırında pişirilir.",5.0
261,Glutensiz Tam Buğday Ekmeği,67.0,2.0,10.7,1.8,dilim,1.0,1.0,gram,25,"glutensiz un karışımı, su, maya, tuz","Glutensiz un karışımını su, maya ve tuz ile karıştırarak hamur elde edin. Hamuru mayalanması için bekletin. Ardından önceden ısıtılmış fırında pişirin.",10.0
262,Omlet,103.30000000000001,6.69,1.27,7.94,adet,1.0,1.0,gram,100,"yumurta, süt, tuz, karabiber, tereyağı","Yumurtaları bir kasede çırpın. Süt, tuz ve karabiber ekleyip karıştırın. Tavada tereyağını eritin ve karışımı dökün. Orta ateşte pişirin.",5.0
263,Sütlü Kahve,67.2,3.8,4.0,4.0,su bardağı,1.0,1.0,ml,200,"süt, kahve",Bir bardak sıcak süt ile bir shot espresso veya filtre kahve karıştırılır.,4.0
264,Çikolatalı Glutensiz Kek,289.28,3.69,39.38,13.0,porsiyon,1.0,1.0,gram,85,"glutensiz un, kakao, şeker, yumurta, tereyağı","Glutensiz unu, kakaoyu ve şekeri karıştırın. Ayrı bir kapta yumurta ve tereyağını çırpın. Tüm malzemeleri birleştirip karıştırın ve önceden ısıtılmış 180°C fırında 25-30 dakika pişirin.",5.0
265,Glutensiz Poğaça,623.66,8.41,133.6,6.18,porsiyon,1.0,1.0,gram,245,"glutensiz un, yoğurt, tereyağı, yumurta",Tüm malzemeleri karıştırarak hamur elde edin. Küçük parçalar koparıp şekil verin. Üzerine yumurta sarısı sürüp önceden ısıtılmış fırında 180 derecede pişirin.,5.0
266,Maydanoz,3.0200000000000005,0.34,0.28,0.06,porsiyon,1.0,1.0,gram,10,"maydanoz, limon suyu, zeytinyağı, tuz","Maydanozları yıkayıp doğrayın. Üzerine limon suyu, zeytinyağı ve tuz ekleyip karıştırın.",4.0
267,Meyveli Yoğurt,127.79999999999998,4.1,19.3,3.8,kase,0.5,0.5,gram,350,"yoğurt, meyve, bal","Yoğurdu bir kaseye alın, üzerine doğranmış taze meyveleri ekleyin ve isteğe bağlı olarak bal ile tatlandırın.",4.0
268,Patlıcan Salatası,63.870000000000005,2.32,4.67,3.99,kase,1.0,1.0,gram,120,"patlıcan, zeytinyağı, limon suyu, sarımsak","Patlıcanları közleyin, kabuklarını soyun ve doğrayın. Zeytinyağı, limon suyu ve ezilmiş sarımsak ile karıştırın. Servis etmeden önce soğutun.",5.0
269,Glutensiz Granola Bar,124.1,10.0,14.5,2.9,adet,1.0,1.0,gram,35,"yulaf ezmesi, bal, badem, kuru meyve, hindistan cevizi yağı","Yulaf ezmesi, bal, badem, kuru meyve ve hindistan cevizi yağını karıştırarak kalıba dökün ve buzdolabında sertleşene kadar bekletin.",5.0
270,Zeytinli Peynirli Sandviç,280.92,11.88,36.3,9.8,porsiyon,1.0,1.0,gram,150,"tam buğday ekmeği, beyaz peynir, zeytin, marul","Tam buğday ekmeği arasına beyaz peynir, dilimlenmiş zeytin ve marul yerleştirilerek hazırlanır.",5.0
271,Etli Patlıcan,33.3,1.8,0.9,2.5,yemek kaşığı,4.0,1.0,gram,30,"patlıcan, dana eti, domates, soğan, biber",Patlıcanları dilimleyip tuzlu suda bekletin. Dana etini kuşbaşı doğrayıp soğanla kavurun. Doğranmış domates ve biberi ekleyip pişirin. Patlıcanları ekleyip karıştırın ve kısık ateşte pişirin.,20.0
272,Yulaf Lapası,49.599999999999994,2.2,7.5,1.2,kase,0.5,0.5,gram,130,"yulaf, süt, su, tuz","Yulaf ve suyu bir tencereye koyup kaynatın. Kaynadıktan sonra kısık ateşte yulaflar yumuşayana kadar pişirin. Süt ve tuzu ekleyip karıştırın, ardından servis edin.",4.0
273,Kahvaltılık Gevrek,92.10000000000001,1.8,21.0,0.1,kase,0.5,0.5,gram,50,"mısır gevreği, şeker, buğday unu",Kahvaltılık gevreği bir kaseye koyun ve üzerine süt veya yoğurt ekleyerek servis edin.,4.0
274,Zeytinyağlı Bamya,4.26,0.12,0.27,0.3,yemek kaşığı,4.0,1.0,gram,10,"bamya, zeytinyağı, soğan, domates, limon","Soğanı zeytinyağında kavurun, doğranmış domates ve bamyayı ekleyin, limon suyu ilave edin ve kısık ateşte pişirin.",20.0
275,Peynirli Yumurta,230.6,11.4,3.5,19.0,adet,1.0,1.0,gram,100,"yumurta, peynir, tereyağı","Yumurtaları çırpın, tereyağında pişirin ve üzerine rendelenmiş peynir ekleyin. Peynir eriyene kadar pişirin.",5.0
276,Etli Kabak Dolması,164.54000000000002,9.76,12.7,8.3,adet,1.0,1.0,gram,250,"kabak, kıyma, pirinç, domates, soğan, zeytinyağı","Kabakların içi oyulur ve kıyma, pirinç, doğranmış soğan, domates ve baharatlarla hazırlanan iç harçla doldurulur. Üzerine zeytinyağı gezdirilip tencereye dizilir, su eklenerek pişirilir.",5.0
277,Kıymalı Kuru Fasulye,44.9,3.2,4.2,1.7,yemek kaşığı,4.0,1.0,gram,25,"kuru fasulye, kıyma, soğan, domates salçası, zeytinyağı",Soğanı doğrayıp zeytinyağında kavurun. Kıymayı ekleyip rengi dönene kadar pişirin. Salçayı ekleyip karıştırın. Haşlanmış kuru fasulyeyi ekleyin ve su ilave ederek kısık ateşte pişirin.,20.0
278,Pirinç,34.64,0.49,5.47,1.2,yemek kaşığı,3.0,1.0,gram,30,"pirinç, su, tuz",Pirinci yıkayıp süzün. Tencereye su ve tuz ekleyip kaynatın. Pirinci ekleyip kısık ateşte suyunu çekene kadar pişirin.,21.0
279,Kayısı,16.119999999999997,0.42,3.34,0.12,adet,1.0,1.0,gram,30,kayısı,Kayısıyı yıkayın ve çekirdeğini çıkararak doğrudan tüketin.,10.0
280,Peynir,93.09,6.11,0.76,7.29,dilim,1.0,1.0,gram,30,"süt, peynir mayası, tuz","Süt, peynir mayası ve tuzun karıştırılması ve ardından olgunlaştırılması ile elde edilen bir süt ürünü.",5.0
281,Etli Kuru Dolma,348.5,15.0,48.5,10.5,porsiyon,1.0,1.0,gram,150,"kuru biber, kıyma, pirinç, soğan, salça","Kuru biberler sıcak suda yumuşatılır. Kıyma, pirinç, doğranmış soğan ve salça karıştırılarak iç harç hazırlanır. Biberler bu harçla doldurulur ve tencereye dizilir. Üzerine su eklenip pişirilir.",10.0
282,Közlenmiş Biber,82.15,2.28,5.68,5.59,porsiyon,1.0,1.0,gram,100,"kırmızı biber, zeytinyağı, tuz",Kırmızı biberleri yıkayın ve kurulayın. Biberleri ocakta veya fırında közleyin. Közlenen biberlerin kabuklarını soyun ve dilimleyin. Zeytinyağı ve tuz ile tatlandırarak servis edin.,5.0
283,Zeytinli Peynirli Kahvaltı Tabağı,187.8,5.2,8.0,15.0,tabak,1.0,1.0,gram,150,"beyaz peynir, zeytin, domates, salatalık, yeşil biber",Beyaz peynir dilimlerini tabak üzerine yerleştirin. Yanına zeytinleri ekleyin. Domates ve salatalıkları dilimleyerek tabağa yerleştirin. Üzerine dilimlenmiş yeşil biber ekleyerek servis yapın.,2.0
284,Köy Kahvaltısı,657.5,21.1,41.8,45.1,tabak,1.0,1.0,gram,450,"peynir, zeytin, yumurta, domates, salatalık, ekmek, bal, tereyağı","Köy kahvaltısı, beyaz peynir, kaşar peyniri, zeytin, haşlanmış yumurta, taze domates ve salatalık dilimleri, köy ekmeği, bal ve tereyağı gibi geleneksel Türk kahvaltı ürünlerinin bir araya getirilmesiyle hazırlanır.",2.0
285,Tavuklu Bulgur Pilavı,28.509999999999998,1.96,3.48,0.75,yemek kaşığı,3.0,1.0,gram,20,"bulgur, tavuk göğsü, soğan, biber, domates","Tavuk göğsü küçük parçalara ayrılır ve soğan ile birlikte kavrulur. Üzerine doğranmış biber ve domates eklenir. Bulgur eklenip karıştırılır, su ilave edilerek pişirilir.",21.0
286,Kuzu Etli Türlü,27.1,2.56,1.74,1.1,yemek kaşığı,4.0,1.0,gram,45,"kuzu eti, patlıcan, kabak, biber, domates, soğan","Kuzu etini kızartın, ardından doğranmış sebzeleri ekleyin. Baharatlarla tatlandırın ve kısık ateşte pişirin.",20.0
287,Tavuklu Sebze Çorbası,112.5,5.0,11.2,5.3,kase,0.5,0.5,gram,450,"tavuk, havuç, patates, soğan, sarımsak, su","Tavuk parçalarını haşlayın, doğranmış sebzeleri ekleyin ve su ile kaynatın. Baharatlarla tatlandırarak servis edin.",4.0
288,Etli Bezelye Yemeği,38.92,3.0,3.58,1.4,yemek kaşığı,4.0,1.0,gram,50,"bezelye, dana eti, soğan, domates salçası, havuç, patates","Dana etini küp küp doğrayıp tencerede kavurun. Üzerine soğan ekleyip soteleyin. Salça ekleyip karıştırın. Bezelye, doğranmış havuç ve patatesi ekleyin. Üzerini geçecek kadar su ekleyip pişirin.",20.0
289,Tavuklu Kuskus,37.4,1.8,5.3,1.0,yemek kaşığı,3.0,1.0,gram,25,"tavuk göğsü, kuskus, sebzeler, zeytinyağı","Tavuk göğsünü küp şeklinde doğrayın ve zeytinyağında soteleyin. Doğranmış sebzeleri ekleyin ve pişirin. Kuskusu ekleyin, su ilave edin ve tüm malzemeler yumuşayana kadar pişirin.",21.0
290,Kıymalı Ispanak,10.680000000000001,0.74,0.67,0.56,yemek kaşığı,4.0,1.0,gram,15,"ıspanak, kıyma, soğan, domates salçası, zeytinyağı","Ispanakları yıkayın ve doğrayın. Soğanı doğrayıp zeytinyağında kavurun, kıymayı ekleyip pişirin. Salçayı ekleyin ve karıştırın. Ispanakları ekleyip suyunu çekene kadar pişirin.",20.0
291,Yumurta ve Peynir Tabağı,391.2,17.3,8.5,32.0,tabak,1.0,1.0,gram,80,"yumurta, peynir",Haşlanmış yumurta ve dilimlenmiş peynir bir tabağa yerleştirilir ve servis edilir.,2.0
292,Glutensiz Makarna,67.6,1.0,15.0,0.4,yemek kaşığı,3.0,1.0,gram,20,"glutensiz makarna, su, tuz",Glutensiz makarnayı kaynar suya ekleyin ve 8-10 dakika boyunca haşlayın. Süzdükten sonra dilediğiniz sos ile servis edin.,21.0
293,Lor Peynirli Biberli Omlet,216.55,20.0,11.48,10.07,adet,1.0,1.0,gram,120,"lor peyniri, biber, yumurta, zeytinyağı",Yumurtaları çırpın ve doğranmış biberlerle birlikte tavaya ekleyin. Lor peyniri ve zeytinyağını da ekleyip karıştırarak pişirin.,5.0
294,Turşu,3.42,0.19,0.53,0.06,porsiyon,1.0,1.0,gram,60,"salatalık, sirke, su, tuz, sarımsak","Salatalıkları dilimleyin, sirke, su, tuz ve sarımsakla karıştırın ve fermente olması için bekletin.",5.0
295,Glutensiz Erişte,67.6,1.0,15.0,0.4,yemek kaşığı,3.0,1.0,gram,20,"glutensiz un, su, tuz",Glutensiz un ve suyu karıştırarak hamur yapın. Hamuru ince açıp erişte şeklinde kesin ve kaynar suda haşlayarak pişirin.,21.0
296,Limonata,61.519999999999996,0.24,14.69,0.2,su bardağı,1.0,1.0,ml,200,"su, limon suyu, şeker","Limon suyu, su ve şekeri karıştırarak soğuk servis ediniz.",4.0
297,Yulaflı Krep,732.84,35.0,106.72,18.44,porsiyon,1.0,1.0,gram,300,"yulaf, yumurta, süt","Yulaf, yumurta ve sütü karıştırarak hamur elde edin. Tavada her iki tarafı altın rengi olana kadar pişirin.",5.0
